Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Operating Margin,Sales Method,Year,Month,Quarter,Month Name,Weekday,Profit Margin
Foot Locker,1185732,2021-07-11,Midwest,Nebraska,Omaha,Women's Athletic Footwear,20.0,75,15000,6000,40%,Outlet,2021,7,3,July,Sunday,40.0
Foot Locker,1185732,2021-07-12,Midwest,Nebraska,Omaha,Men's Apparel,30.0,75,22500,7875,35%,Outlet,2021,7,3,July,Monday,35.0
Foot Locker,1185732,2021-07-13,Midwest,Nebraska,Omaha,Women's Apparel,35.0,150,52500,26250,50%,Outlet,2021,7,3,July,Tuesday,50.0
Foot Locker,1185732,2021-07-14,Midwest,Nebraska,Omaha,Men's Street Footwear,40.0,325,130000,52000,40%,Outlet,2021,7,3,July,Wednesday,40.0
Foot Locker,1185732,2021-07-15,Midwest,Nebraska,Omaha,Men's Athletic Footwear,30.0,150,45000,15750,35%,Outlet,2021,7,3,July,Thursday,35.0
Foot Locker,1185732,2021-07-16,Midwest,Nebraska,Omaha,Women's Street Footwear,30.0,50,15000,5250,35%,Outlet,2021,7,3,July,Friday,35.0
Foot Locker,1185732,2021-07-17,Midwest,Nebraska,Omaha,Women's Athletic Footwear,30.0,25,7500,3000,40%,Outlet,2021,7,3,July,Saturday,40.0
Foot Locker,1185732,2021-07-18,Midwest,Nebraska,Omaha,Men's Apparel,40.0,25,10000,3500,35%,Outlet,2021,7,3,July,Sunday,35.0
Foot Locker,1185732,2021-07-19,Midwest,Nebraska,Omaha,Women's Apparel,45.0,150,67500,33750,50%,Outlet,2021,7,3,July,Monday,50.0
Foot Locker,1185732,2021-07-20,Midwest,Nebraska,Omaha,Men's Street Footwear,40.0,300,120000,48000,40%,Outlet,2021,7,3,July,Tuesday,40.0
Foot Locker,1185732,2021-07-21,Midwest,Nebraska,Omaha,Men's Athletic Footwear,30.0,150,45000,15750,35%,Outlet,2021,7,3,July,Wednesday,35.0
Foot Locker,1185732,2021-07-22,Midwest,Nebraska,Omaha,Women's Street Footwear,30.0,95,28500,9975,35%,Outlet,2021,7,3,July,Thursday,35.0
Foot Locker,1185732,2021-07-23,Midwest,Nebraska,Omaha,Women's Athletic Footwear,30.0,125,37500,15000,40%,Outlet,2021,7,3,July,Friday,40.0
Foot Locker,1185732,2021-07-24,Midwest,Nebraska,Omaha,Men's Apparel,50.0,100,50000,17500,35%,Outlet,2021,7,3,July,Saturday,35.0
Foot Locker,1185732,2021-07-25,Midwest,Nebraska,Omaha,Women's Apparel,55.0,200,110000,55000,50%,Outlet,2021,7,3,July,Sunday,50.0
Foot Locker,1185732,2021-07-26,Midwest,Nebraska,Omaha,Men's Street Footwear,50.0,450,225000,90000,40%,Outlet,2021,7,3,July,Monday,40.0
Foot Locker,1185732,2021-07-27,Midwest,Nebraska,Omaha,Men's Athletic Footwear,40.0,250,100000,35000,35%,Outlet,2021,7,3,July,Tuesday,35.0
Foot Locker,1185732,2021-07-28,Midwest,Nebraska,Omaha,Women's Street Footwear,40.0,200,80000,28000,35%,Outlet,2021,7,3,July,Wednesday,35.0
Foot Locker,1185732,2021-07-29,Midwest,Nebraska,Omaha,Women's Athletic Footwear,40.0,150,60000,24000,40%,Outlet,2021,7,3,July,Thursday,40.0
Foot Locker,1185732,2021-07-30,Midwest,Nebraska,Omaha,Men's Apparel,50.0,150,75000,26250,35%,Outlet,2021,7,3,July,Friday,35.0
Foot Locker,1185732,2021-07-31,Midwest,Nebraska,Omaha,Women's Apparel,55.0,250,137500,68750,50%,Outlet,2021,7,3,July,Saturday,50.0
Sports Direct,1197831,2021-08-01,Midwest,Nebraska,Omaha,Men's Street Footwear,20.0,675,135000,54000,40%,Outlet,2021,8,3,August,Sunday,40.0
Sports Direct,1197831,2021-08-02,Midwest,Nebraska,Omaha,Men's Athletic Footwear,30.0,675,202500,81000,40%,Outlet,2021,8,3,August,Monday,40.0
Sports Direct,1197831,2021-08-03,Midwest,Nebraska,Omaha,Women's Street Footwear,30.0,475,142500,57000,40%,Outlet,2021,8,3,August,Tuesday,40.0
Sports Direct,1197831,2021-08-04,Midwest,Nebraska,Omaha,Women's Athletic Footwear,35.0,475,166250,83125,50%,Outlet,2021,8,3,August,Wednesday,50.0
Sports Direct,1197831,2021-08-05,South,Alabama,Birmingham,Men's Apparel,40.0,325,130000,45500,35%,Outlet,2021,8,3,August,Thursday,35.0
Sports Direct,1197831,2021-08-06,South,Alabama,Birmingham,Women's Apparel,35.0,475,166250,91438,55%,Outlet,2021,8,3,August,Friday,55.00030075187969
Sports Direct,1197831,2021-08-07,South,Alabama,Birmingham,Men's Street Footwear,25.0,625,156250,62500,40%,Outlet,2021,8,3,August,Saturday,40.0
Sports Direct,1197831,2021-08-08,South,Alabama,Birmingham,Men's Athletic Footwear,35.0,600,210000,84000,40%,Outlet,2021,8,3,August,Sunday,40.0
Sports Direct,1197831,2021-08-09,South,Alabama,Birmingham,Women's Street Footwear,35.0,425,148750,59500,40%,Outlet,2021,8,3,August,Monday,40.0
Sports Direct,1197831,2021-08-10,South,Alabama,Birmingham,Women's Athletic Footwear,35.0,375,131250,65625,50%,Outlet,2021,8,3,August,Tuesday,50.0
Sports Direct,1197831,2021-08-11,South,Alabama,Birmingham,Men's Apparel,40.0,250,100000,35000,35%,Outlet,2021,8,3,August,Wednesday,35.0
Sports Direct,1197831,2021-08-12,South,Alabama,Birmingham,Women's Apparel,35.0,450,157500,86625,55%,Outlet,2021,8,3,August,Thursday,55.00000000000001
Sports Direct,1197831,2021-08-13,South,Alabama,Birmingham,Men's Street Footwear,30.0,625,187500,84375,45%,Outlet,2021,8,3,August,Friday,45.0
Sports Direct,1197831,2021-08-14,South,Alabama,Birmingham,Men's Athletic Footwear,40.0,625,250000,112500,45%,Outlet,2021,8,3,August,Saturday,45.0
Sports Direct,1197831,2021-08-15,South,Alabama,Birmingham,Women's Street Footwear,30.0,450,135000,60750,45%,Outlet,2021,8,3,August,Sunday,45.0
Sports Direct,1197831,2021-08-16,South,Alabama,Birmingham,Women's Athletic Footwear,35.0,350,122500,67375,55%,Outlet,2021,8,3,August,Monday,55.00000000000001
Sports Direct,1197831,2021-08-17,South,Alabama,Birmingham,Men's Apparel,40.0,250,100000,40000,40%,Outlet,2021,8,3,August,Tuesday,40.0
Sports Direct,1197831,2021-08-18,South,Alabama,Birmingham,Women's Apparel,35.0,400,140000,84000,60%,Outlet,2021,8,3,August,Wednesday,60.0
Sports Direct,1197831,2021-08-19,South,Alabama,Birmingham,Men's Street Footwear,20.0,650,130000,58500,45%,Outlet,2021,8,3,August,Thursday,45.0
Sports Direct,1197831,2021-08-20,South,Alabama,Birmingham,Men's Athletic Footwear,20.0,650,130000,58500,45%,Outlet,2021,8,3,August,Friday,45.0
Sports Direct,1197831,2021-08-21,South,Alabama,Birmingham,Women's Street Footwear,15.0,475,71250,32063,45%,Outlet,2021,8,3,August,Saturday,45.000701754385965
Sports Direct,1197831,2021-08-22,South,Alabama,Birmingham,Women's Athletic Footwear,20.0,375,75000,41250,55%,Outlet,2021,8,3,August,Sunday,55.00000000000001
Sports Direct,1197831,2021-08-23,South,Alabama,Birmingham,Men's Apparel,25.0,275,68750,27500,40%,Outlet,2021,8,3,August,Monday,40.0
Sports Direct,1197831,2021-08-24,South,Alabama,Birmingham,Women's Apparel,20.0,550,110000,66000,60%,Outlet,2021,8,3,August,Tuesday,60.0
Sports Direct,1197831,2021-08-25,South,Alabama,Birmingham,Men's Street Footwear,10.0,700,70000,31500,45%,Outlet,2021,8,3,August,Wednesday,45.0
Sports Direct,1197831,2021-08-26,South,Alabama,Birmingham,Men's Athletic Footwear,20.0,725,145000,65250,45%,Outlet,2021,8,3,August,Thursday,45.0
Sports Direct,1197831,2021-08-27,South,Alabama,Birmingham,Women's Street Footwear,15.0,575,86250,38813,45%,Outlet,2021,8,3,August,Friday,45.000579710144926
Sports Direct,1197831,2021-08-28,South,Alabama,Birmingham,Women's Athletic Footwear,35.0,500,175000,96250,55%,Outlet,2021,8,3,August,Saturday,55.00000000000001
Sports Direct,1197831,2021-08-29,South,Alabama,Birmingham,Men's Apparel,50.0,400,200000,80000,40%,Outlet,2021,8,3,August,Sunday,40.0
Sports Direct,1197831,2021-08-30,South,Alabama,Birmingham,Women's Apparel,45.0,750,337500,202500,60%,Outlet,2021,8,3,August,Monday,60.0
Sports Direct,1197831,2021-08-31,South,Alabama,Birmingham,Men's Street Footwear,45.0,750,337500,151875,45%,Outlet,2021,8,3,August,Tuesday,45.0
Sports Direct,1197831,2021-09-01,South,Alabama,Birmingham,Men's Athletic Footwear,50.0,750,375000,168750,45%,Outlet,2021,9,3,September,Wednesday,45.0
Sports Direct,1197831,2021-09-02,South,Alabama,Birmingham,Women's Street Footwear,45.0,650,292500,131625,45%,Outlet,2021,9,3,September,Thursday,45.0
Sports Direct,1197831,2021-09-03,South,Alabama,Birmingham,Women's Athletic Footwear,45.0,600,270000,148500,55%,Outlet,2021,9,3,September,Friday,55.00000000000001
Sports Direct,1197831,2021-09-04,South,Alabama,Birmingham,Men's Apparel,50.0,500,250000,100000,40%,Outlet,2021,9,3,September,Saturday,40.0
Sports Direct,1197831,2021-09-05,South,Alabama,Birmingham,Women's Apparel,55.0,875,481250,288750,60%,Outlet,2021,9,3,September,Sunday,60.0
Sports Direct,1197831,2021-09-06,South,Alabama,Birmingham,Men's Street Footwear,45.0,825,371250,185625,50%,Outlet,2021,9,3,September,Monday,50.0
Sports Direct,1197831,2021-09-07,South,Alabama,Birmingham,Men's Athletic Footwear,50.0,825,412500,206250,50%,Outlet,2021,9,3,September,Tuesday,50.0
Sports Direct,1197831,2021-09-08,South,Alabama,Birmingham,Women's Street Footwear,45.0,975,438750,219375,50%,Outlet,2021,9,3,September,Wednesday,50.0
Sports Direct,1197831,2021-09-09,South,Alabama,Birmingham,Women's Athletic Footwear,45.0,575,258750,155250,60%,Outlet,2021,9,3,September,Thursday,60.0
Sports Direct,1197831,2021-09-10,South,Alabama,Birmingham,Men's Apparel,50.0,525,262500,118125,45%,Outlet,2021,9,3,September,Friday,45.0
Sports Direct,1197831,2021-09-11,South,Alabama,Birmingham,Women's Apparel,60.0,800,480000,312000,65%,Outlet,2021,9,3,September,Saturday,65.0
Sports Direct,1197831,2021-09-12,South,Alabama,Birmingham,Men's Street Footwear,40.0,750,300000,150000,50%,Outlet,2021,9,3,September,Sunday,50.0
Sports Direct,1197831,2021-09-13,South,Alabama,Birmingham,Men's Athletic Footwear,55.0,750,412500,206250,50%,Outlet,2021,9,3,September,Monday,50.0
Sports Direct,1197831,2021-09-14,South,Alabama,Birmingham,Women's Street Footwear,55.0,925,508750,254375,50%,Outlet,2021,9,3,September,Tuesday,50.0
Sports Direct,1197831,2021-09-15,South,Alabama,Birmingham,Women's Athletic Footwear,50.0,425,212500,127500,60%,Outlet,2021,9,3,September,Wednesday,60.0
Sports Direct,1197831,2021-09-16,South,Alabama,Birmingham,Men's Apparel,55.0,425,233750,105188,45%,Outlet,2021,9,3,September,Thursday,45.000213903743315
Sports Direct,1197831,2021-09-17,South,Alabama,Birmingham,Women's Apparel,60.0,675,405000,263250,65%,Outlet,2021,9,3,September,Friday,65.0
Sports Direct,1197831,2021-09-18,South,Alabama,Birmingham,Men's Street Footwear,55.0,625,343750,171875,50%,Outlet,2021,9,3,September,Saturday,50.0
Sports Direct,1197831,2021-09-19,South,Alabama,Birmingham,Men's Athletic Footwear,55.0,575,316250,158125,50%,Outlet,2021,9,3,September,Sunday,50.0
Sports Direct,1197831,2021-09-20,South,Alabama,Birmingham,Women's Street Footwear,60.0,625,375000,187500,50%,Outlet,2021,9,3,September,Monday,50.0
Sports Direct,1197831,2021-09-21,South,Alabama,Birmingham,Women's Athletic Footwear,60.0,350,210000,126000,60%,Outlet,2021,9,3,September,Tuesday,60.0
Sports Direct,1197831,2021-09-22,South,Alabama,Birmingham,Men's Apparel,45.0,350,157500,70875,45%,Outlet,2021,9,3,September,Wednesday,45.0
Sports Direct,1197831,2021-09-23,South,Alabama,Birmingham,Women's Apparel,40.0,575,230000,149500,65%,Outlet,2021,9,3,September,Thursday,65.0
Sports Direct,1197831,2021-09-24,South,Alabama,Birmingham,Men's Street Footwear,30.0,525,157500,78750,50%,Outlet,2021,9,3,September,Friday,50.0
Sports Direct,1197831,2021-09-25,South,Alabama,Birmingham,Men's Athletic Footwear,30.0,525,157500,78750,50%,Outlet,2021,9,3,September,Saturday,50.0
Sports Direct,1197831,2021-09-26,South,Alabama,Birmingham,Women's Street Footwear,35.0,475,166250,83125,50%,Outlet,2021,9,3,September,Sunday,50.0
Sports Direct,1197831,2021-09-27,South,Alabama,Birmingham,Women's Athletic Footwear,35.0,325,113750,68250,60%,Outlet,2021,9,3,September,Monday,60.0
Sports Direct,1197831,2021-09-28,South,Alabama,Birmingham,Men's Apparel,30.0,300,90000,40500,45%,Outlet,2021,9,3,September,Tuesday,45.0
Sports Direct,1197831,2021-09-29,South,Alabama,Birmingham,Women's Apparel,40.0,475,190000,123500,65%,Outlet,2021,9,3,September,Wednesday,65.0
Sports Direct,1197831,2021-09-30,South,Alabama,Birmingham,Men's Street Footwear,20.0,625,125000,62500,50%,Outlet,2021,9,3,September,Thursday,50.0
Sports Direct,1197831,2021-10-01,South,Alabama,Birmingham,Men's Athletic Footwear,20.0,625,125000,62500,50%,Outlet,2021,10,4,October,Friday,50.0
Sports Direct,1197831,2021-10-02,South,Alabama,Birmingham,Women's Street Footwear,45.0,575,258750,129375,50%,Outlet,2021,10,4,October,Saturday,50.0
Sports Direct,1197831,2021-10-03,South,Alabama,Birmingham,Women's Athletic Footwear,45.0,450,202500,121500,60%,Outlet,2021,10,4,October,Sunday,60.0
Sports Direct,1197831,2021-10-04,South,Alabama,Birmingham,Men's Apparel,50.0,425,212500,95625,45%,Outlet,2021,10,4,October,Monday,45.0
Sports Direct,1197831,2021-10-05,South,Alabama,Birmingham,Women's Apparel,60.0,625,375000,243750,65%,Outlet,2021,10,4,October,Tuesday,65.0
Sports Direct,1197831,2021-10-06,South,Alabama,Birmingham,Men's Street Footwear,60.0,775,465000,232500,50%,Outlet,2021,10,4,October,Wednesday,50.0
Sports Direct,1197831,2021-10-07,South,Alabama,Birmingham,Men's Athletic Footwear,60.0,775,465000,232500,50%,Outlet,2021,10,4,October,Thursday,50.0
Sports Direct,1197831,2021-10-08,South,Alabama,Birmingham,Women's Street Footwear,65.0,700,455000,227500,50%,Outlet,2021,10,4,October,Friday,50.0
Sports Direct,1197831,2021-10-09,South,Alabama,Birmingham,Women's Athletic Footwear,65.0,550,357500,214500,60%,Outlet,2021,10,4,October,Saturday,60.0
Sports Direct,1197831,2021-10-10,South,Alabama,Birmingham,Men's Apparel,60.0,500,300000,135000,45%,Outlet,2021,10,4,October,Sunday,45.0
Sports Direct,1197831,2021-10-11,South,Alabama,Birmingham,Women's Apparel,70.0,750,525000,341250,65%,Outlet,2021,10,4,October,Monday,65.0
Amazon,1185732,2021-10-12,South,Alabama,Birmingham,Men's Street Footwear,40.0,450,180000,63000,35%,Outlet,2021,10,4,October,Tuesday,35.0
Amazon,1185732,2021-10-13,South,Alabama,Birmingham,Men's Athletic Footwear,40.0,250,100000,35000,35%,Outlet,2021,10,4,October,Wednesday,35.0
Amazon,1185732,2021-10-14,South,Alabama,Birmingham,Women's Street Footwear,30.0,250,75000,30000,40%,Outlet,2021,10,4,October,Thursday,40.0
Amazon,1185732,2021-10-15,South,Alabama,Birmingham,Women's Athletic Footwear,35.0,100,35000,10500,30%,Outlet,2021,10,4,October,Friday,30.0
Amazon,1185732,2021-10-16,Northeast,Maine,Portland,Men's Apparel,50.0,150,75000,18750,25%,Outlet,2021,10,4,October,Saturday,25.0
Amazon,1185732,2021-10-17,Northeast,Maine,Portland,Women's Apparel,40.0,250,100000,40000,40%,Outlet,2021,10,4,October,Sunday,40.0
Amazon,1185732,2021-10-18,Northeast,Maine,Portland,Men's Street Footwear,40.0,500,200000,70000,35%,Outlet,2021,10,4,October,Monday,35.0
Amazon,1185732,2021-10-19,Northeast,Maine,Portland,Men's Athletic Footwear,40.0,150,60000,21000,35%,Outlet,2021,10,4,October,Tuesday,35.0
Amazon,1185732,2021-10-20,Northeast,Maine,Portland,Women's Street Footwear,30.0,200,60000,24000,40%,Outlet,2021,10,4,October,Wednesday,40.0
Amazon,1185732,2021-10-21,Northeast,Maine,Portland,Women's Athletic Footwear,35.0,75,26250,7875,30%,Outlet,2021,10,4,October,Thursday,30.0
Amazon,1185732,2021-10-22,Northeast,Maine,Portland,Men's Apparel,50.0,150,75000,18750,25%,Outlet,2021,10,4,October,Friday,25.0
Amazon,1185732,2021-10-23,Northeast,Maine,Portland,Women's Apparel,40.0,250,100000,40000,40%,Outlet,2021,10,4,October,Saturday,40.0
Amazon,1185732,2021-10-24,Northeast,Maine,Portland,Men's Street Footwear,40.0,470,188000,65800,35%,Outlet,2021,10,4,October,Sunday,35.0
Amazon,1185732,2021-10-25,Northeast,Maine,Portland,Men's Athletic Footwear,40.0,175,70000,24500,35%,Outlet,2021,10,4,October,Monday,35.0
Amazon,1185732,2021-10-26,Northeast,Maine,Portland,Women's Street Footwear,30.0,200,60000,24000,40%,Outlet,2021,10,4,October,Tuesday,40.0
Amazon,1185732,2021-10-27,Northeast,Maine,Portland,Women's Athletic Footwear,35.0,50,17500,5250,30%,Outlet,2021,10,4,October,Wednesday,30.0
Amazon,1185732,2021-10-28,Northeast,Maine,Portland,Men's Apparel,50.0,100,50000,12500,25%,Outlet,2021,10,4,October,Thursday,25.0
Amazon,1185732,2021-10-29,Northeast,Maine,Portland,Women's Apparel,40.0,200,80000,32000,40%,Outlet,2021,10,4,October,Friday,40.0
Amazon,1185732,2021-10-30,Northeast,Maine,Portland,Men's Street Footwear,40.0,450,180000,63000,35%,Outlet,2021,10,4,October,Saturday,35.0
Amazon,1185732,2021-10-31,Northeast,Maine,Portland,Men's Athletic Footwear,40.0,150,60000,21000,35%,Outlet,2021,10,4,October,Sunday,35.0
Amazon,1185732,2021-11-01,Northeast,Maine,Portland,Women's Street Footwear,30.0,150,45000,18000,40%,Outlet,2021,11,4,November,Monday,40.0
Amazon,1185732,2021-11-02,Northeast,Maine,Portland,Women's Athletic Footwear,35.0,75,26250,7875,30%,Outlet,2021,11,4,November,Tuesday,30.0
Amazon,1185732,2021-11-03,Northeast,Maine,Portland,Men's Apparel,50.0,75,37500,9375,25%,Outlet,2021,11,4,November,Wednesday,25.0
Amazon,1185732,2021-11-04,Northeast,Maine,Portland,Women's Apparel,40.0,225,90000,36000,40%,Outlet,2021,11,4,November,Thursday,40.0
Amazon,1185732,2021-11-05,Northeast,Maine,Portland,Men's Street Footwear,55.0,495,272250,95288,35%,Outlet,2021,11,4,November,Friday,35.00018365472911
Amazon,1185732,2021-11-06,Northeast,Maine,Portland,Men's Athletic Footwear,50.0,200,100000,35000,35%,Outlet,2021,11,4,November,Saturday,35.0
Amazon,1185732,2021-11-07,Northeast,Maine,Portland,Women's Street Footwear,45.0,175,78750,31500,40%,Outlet,2021,11,4,November,Sunday,40.0
Amazon,1185732,2021-11-08,Northeast,Maine,Portland,Women's Athletic Footwear,45.0,125,56250,16875,30%,Outlet,2021,11,4,November,Monday,30.0
Amazon,1185732,2021-11-09,Northeast,Maine,Portland,Men's Apparel,55.0,150,82500,20625,25%,Outlet,2021,11,4,November,Tuesday,25.0
Amazon,1185732,2021-11-10,Northeast,Maine,Portland,Women's Apparel,60.0,275,165000,66000,40%,Outlet,2021,11,4,November,Wednesday,40.0
Amazon,1185732,2021-11-11,Northeast,Maine,Portland,Men's Street Footwear,55.0,525,288750,101063,35%,Outlet,2021,11,4,November,Thursday,35.00017316017316
Amazon,1185732,2021-11-12,Northeast,Maine,Portland,Men's Athletic Footwear,50.0,275,137500,48125,35%,Outlet,2021,11,4,November,Friday,35.0
Amazon,1185732,2021-11-13,Northeast,Maine,Portland,Women's Street Footwear,45.0,200,90000,36000,40%,Outlet,2021,11,4,November,Saturday,40.0
Amazon,1185732,2021-11-14,Northeast,Maine,Portland,Women's Athletic Footwear,45.0,175,78750,23625,30%,Outlet,2021,11,4,November,Sunday,30.0
Amazon,1185732,2021-11-15,Northeast,Maine,Portland,Men's Apparel,55.0,175,96250,24063,25%,Outlet,2021,11,4,November,Monday,25.00051948051948
Amazon,1185732,2021-11-16,Northeast,Maine,Portland,Women's Apparel,60.0,325,195000,78000,40%,Outlet,2021,11,4,November,Tuesday,40.0
Amazon,1185732,2021-11-17,Northeast,Maine,Portland,Men's Street Footwear,55.0,550,302500,105875,35%,Outlet,2021,11,4,November,Wednesday,35.0
Amazon,1185732,2021-11-18,Northeast,Maine,Portland,Men's Athletic Footwear,50.0,300,150000,52500,35%,Outlet,2021,11,4,November,Thursday,35.0
Amazon,1185732,2021-11-19,Northeast,Maine,Portland,Women's Street Footwear,45.0,225,101250,40500,40%,Outlet,2021,11,4,November,Friday,40.0
Amazon,1185732,2021-11-20,Northeast,Maine,Portland,Women's Athletic Footwear,45.0,175,78750,23625,30%,Outlet,2021,11,4,November,Saturday,30.0
Amazon,1185732,2021-11-21,Northeast,Maine,Portland,Men's Apparel,55.0,200,110000,27500,25%,Outlet,2021,11,4,November,Sunday,25.0
Amazon,1185732,2021-12-20,Northeast,Maine,Portland,Women's Apparel,60.0,375,225000,90000,40%,Outlet,2021,12,4,December,Monday,40.0
Amazon,1185732,2021-12-21,Northeast,Maine,Portland,Men's Street Footwear,55.0,525,288750,101063,35%,Outlet,2021,12,4,December,Tuesday,35.00017316017316
Amazon,1185732,2021-12-22,Northeast,Maine,Portland,Men's Athletic Footwear,50.0,300,150000,52500,35%,Outlet,2021,12,4,December,Wednesday,35.0
Amazon,1185732,2021-12-23,Northeast,Maine,Portland,Women's Street Footwear,45.0,225,101250,40500,40%,Outlet,2021,12,4,December,Thursday,40.0
Amazon,1185732,2021-12-24,Northeast,Maine,Portland,Women's Athletic Footwear,45.0,175,78750,23625,30%,Outlet,2021,12,4,December,Friday,30.0
Amazon,1185732,2021-12-25,Northeast,Maine,Portland,Men's Apparel,55.0,150,82500,20625,25%,Outlet,2021,12,4,December,Saturday,25.0
Amazon,1185732,2021-12-26,Northeast,Maine,Portland,Women's Apparel,60.0,325,195000,78000,40%,Outlet,2021,12,4,December,Sunday,40.0
Amazon,1185732,2021-12-27,Northeast,Maine,Portland,Men's Street Footwear,55.0,450,247500,86625,35%,Outlet,2021,12,4,December,Monday,35.0
Amazon,1185732,2021-12-28,Northeast,Maine,Portland,Men's Athletic Footwear,50.0,250,125000,43750,35%,Outlet,2021,12,4,December,Tuesday,35.0
Amazon,1185732,2021-12-29,Northeast,Maine,Portland,Women's Street Footwear,45.0,150,67500,27000,40%,Outlet,2021,12,4,December,Wednesday,40.0
Amazon,1185732,2021-12-30,Northeast,Maine,Portland,Women's Athletic Footwear,45.0,125,56250,16875,30%,Outlet,2021,12,4,December,Thursday,30.0
Amazon,1185732,2021-12-31,Northeast,Maine,Portland,Men's Apparel,55.0,125,68750,17188,25%,Outlet,2021,12,4,December,Friday,25.000727272727275
Amazon,1185732,2021-09-17,Northeast,Maine,Portland,Women's Apparel,60.0,225,135000,54000,40%,Outlet,2021,9,3,September,Friday,40.0
Amazon,1185732,2021-10-19,Northeast,Maine,Portland,Men's Street Footwear,60.0,400,240000,84000,35%,Outlet,2021,10,4,October,Tuesday,35.0
Amazon,1185732,2021-10-19,Northeast,Maine,Portland,Men's Athletic Footwear,55.0,225,123750,43313,35%,Outlet,2021,10,4,October,Tuesday,35.00040404040404
Amazon,1185732,2021-10-19,Northeast,Maine,Portland,Women's Street Footwear,55.0,125,68750,27500,40%,Outlet,2021,10,4,October,Tuesday,40.0
Amazon,1185732,2021-10-19,Northeast,Maine,Portland,Women's Athletic Footwear,55.0,100,55000,16500,30%,Outlet,2021,10,4,October,Tuesday,30.0
Amazon,1185732,2021-10-19,Northeast,Maine,Portland,Men's Apparel,65.0,100,65000,16250,25%,Outlet,2021,10,4,October,Tuesday,25.0
Amazon,1185732,2021-10-19,Northeast,Maine,Portland,Women's Apparel,70.0,225,157500,63000,40%,Outlet,2021,10,4,October,Tuesday,40.0
Amazon,1185732,2021-11-18,Northeast,Maine,Portland,Men's Street Footwear,65.0,375,243750,85313,35%,Outlet,2021,11,4,November,Thursday,35.00020512820513
Amazon,1185732,2021-11-18,Northeast,Maine,Portland,Men's Athletic Footwear,55.0,200,110000,38500,35%,Outlet,2021,11,4,November,Thursday,35.0
Amazon,1185732,2021-11-18,Northeast,Maine,Portland,Women's Street Footwear,55.0,195,107250,42900,40%,Outlet,2021,11,4,November,Thursday,40.0
Amazon,1185732,2021-11-18,Northeast,Maine,Portland,Women's Athletic Footwear,55.0,175,96250,28875,30%,Outlet,2021,11,4,November,Thursday,30.0
Amazon,1185732,2021-11-18,Northeast,Maine,Portland,Men's Apparel,65.0,150,97500,24375,25%,Outlet,2021,11,4,November,Thursday,25.0
Amazon,1185732,2021-11-18,Northeast,Maine,Portland,Women's Apparel,70.0,250,175000,70000,40%,Outlet,2021,11,4,November,Thursday,40.0
Amazon,1185732,2021-12-17,Northeast,Maine,Portland,Men's Street Footwear,65.0,475,308750,108063,35%,Outlet,2021,12,4,December,Friday,35.00016194331984
Amazon,1185732,2021-12-17,Northeast,Maine,Portland,Men's Athletic Footwear,55.0,275,151250,52938,35%,Outlet,2021,12,4,December,Friday,35.0003305785124
Amazon,1185732,2021-12-17,Northeast,Maine,Portland,Women's Street Footwear,55.0,250,137500,55000,40%,Outlet,2021,12,4,December,Friday,40.0
Amazon,1185732,2021-12-17,Northeast,Maine,Portland,Women's Athletic Footwear,55.0,200,110000,33000,30%,Outlet,2021,12,4,December,Friday,30.0
Amazon,1185732,2021-12-17,Northeast,Maine,Portland,Men's Apparel,65.0,200,130000,32500,25%,Outlet,2021,12,4,December,Friday,25.0
Amazon,1185732,2021-12-17,Northeast,Maine,Portland,Women's Apparel,70.0,300,210000,84000,40%,Outlet,2021,12,4,December,Friday,40.0
West Gear,1128299,2021-01-10,Northeast,Maine,Portland,Men's Street Footwear,35.0,375,131250,32813,25%,Outlet,2021,1,1,January,Sunday,25.00038095238095
West Gear,1128299,2021-01-10,Northeast,Maine,Portland,Men's Athletic Footwear,45.0,375,168750,33750,20%,Outlet,2021,1,1,January,Sunday,20.0
West Gear,1128299,2021-01-10,Northeast,Maine,Portland,Women's Street Footwear,45.0,375,168750,42188,25%,Outlet,2021,1,1,January,Sunday,25.0002962962963
West Gear,1128299,2021-01-10,Northeast,Maine,Portland,Women's Athletic Footwear,45.0,225,101250,25313,25%,Outlet,2021,1,1,January,Sunday,25.00049382716049
Amazon,1185732,2021-01-24,West,Alaska,Anchorage,Women's Apparel,55.0,300,165000,49500,30%,Outlet,2021,1,1,January,Sunday,30.0
Amazon,1185732,2021-02-22,West,Alaska,Anchorage,Men's Street Footwear,55.0,575,316250,110688,35%,Outlet,2021,2,1,February,Monday,35.0001581027668
Amazon,1185732,2021-02-22,West,Alaska,Anchorage,Men's Athletic Footwear,55.0,225,123750,43313,35%,Outlet,2021,2,1,February,Monday,35.00040404040404
Amazon,1185732,2021-02-22,West,Alaska,Anchorage,Women's Street Footwear,45.0,275,123750,30938,25%,Outlet,2021,2,1,February,Monday,25.00040404040404
Amazon,1185732,2021-02-22,West,Alaska,Anchorage,Women's Athletic Footwear,50.0,175,87500,21875,25%,Outlet,2021,2,1,February,Monday,25.0
Amazon,1185732,2021-02-22,West,Alaska,Anchorage,Men's Apparel,65.0,250,162500,40625,25%,Outlet,2021,2,1,February,Monday,25.0
Amazon,1185732,2021-02-22,West,Alaska,Anchorage,Women's Apparel,55.0,350,192500,57750,30%,Outlet,2021,2,1,February,Monday,30.0
